# x y u(x,y) v(x,y)
-1 -0.5 0.00248333 -0
-1 -0.49 0.00738333 3.3504e-06
-1 -0.48 0.0121833 6.69604e-06
-1 -0.47 0.0168833 1.00336e-05
-1 -0.46 0.0214833 1.33599e-05
-1 -0.45 0.0259833 1.66716e-05
-1 -0.44 0.0303833 1.99655e-05
-1 -0.43 0.0346833 2.32384e-05
-1 -0.42 0.0388833 2.64871e-05
-1 -0.41 0.0429833 2.97084e-05
-1 -0.4 0.0469833 3.28992e-05
-1 -0.39 0.0508833 3.60563e-05
-1 -0.38 0.0546833 3.91767e-05
-1 -0.37 0.0583833 4.22574e-05
-1 -0.36 0.0619833 4.52952e-05
-1 -0.35 0.0654833 4.82874e-05
-1 -0.34 0.0688833 5.12309e-05
-1 -0.33 0.0721833 5.41229e-05
-1 -0.32 0.0753833 5.69606e-05
-1 -0.31 0.0784833 5.97412e-05
-1 -0.3 0.0814833 6.2462e-05
-1 -0.29 0.0843833 6.51203e-05
-1 -0.28 0.0871833 6.77136e-05
-1 -0.27 0.0898833 7.02394e-05
-1 -0.26 0.0924833 7.26951e-05
-1 -0.25 0.0949833 7.50785e-05
-1 -0.24 0.0973833 7.73871e-05
-1 -0.23 0.0996833 7.96188e-05
-1 -0.22 0.101883 8.17713e-05
-1 -0.21 0.103983 8.38426e-05
-1 -0.2 0.105983 8.58307e-05
-1 -0.19 0.107883 8.77336e-05
-1 -0.18 0.109683 8.95495e-05
-1 -0.17 0.111383 9.12766e-05
-1 -0.16 0.112983 9.29133e-05
-1 -0.15 0.114483 9.44579e-05
-1 -0.14 0.115883 9.5909e-05
-1 -0.13 0.117183 9.72652e-05
-1 -0.12 0.118383 9.8525e-05
-1 -0.11 0.119483 9.96875e-05
-1 -0.1 0.120483 0.000100751
-1 -0.09 0.121383 0.000101715
-1 -0.08 0.122183 0.000102579
-1 -0.07 0.122883 0.000103341
-1 -0.06 0.123483 0.000104001
-1 -0.05 0.123983 0.000104559
-1 -0.04 0.124383 0.000105013
-1 -0.03 0.124683 0.000105363
-1 -0.02 0.124883 0.00010561
-1 -0.01 0.124983 0.000105752
-1 0 0.124983 0.00010579
-1 0.01 0.124883 0.000105723
-1 0.02 0.124683 0.000105552
-1 0.03 0.124383 0.000105277
-1 0.04 0.123983 0.000104898
-1 0.05 0.123483 0.000104416
-1 0.06 0.122883 0.000103831
-1 0.07 0.122183 0.000103143
-1 0.08 0.121383 0.000102354
-1 0.09 0.120483 0.000101464
-1 0.1 0.119483 0.000100474
-1 0.11 0.118383 9.93847e-05
-1 0.12 0.117183 9.81979e-05
-1 0.13 0.115883 9.69144e-05
-1 0.14 0.114483 9.55356e-05
-1 0.15 0.112983 9.40628e-05
-1 0.16 0.111383 9.24974e-05
-1 0.17 0.109683 9.08412e-05
-1 0.18 0.107883 8.90957e-05
-1 0.19 0.105983 8.72626e-05
-1 0.2 0.103983 8.53439e-05
-1 0.21 0.101883 8.33414e-05
-1 0.22 0.0996833 8.12571e-05
-1 0.23 0.0973833 7.90931e-05
-1 0.24 0.0949833 7.68517e-05
-1 0.25 0.0924833 7.4535e-05
-1 0.26 0.0898833 7.21453e-05
-1 0.27 0.0871833 6.96851e-05
-1 0.28 0.0843833 6.71567e-05
-1 0.29 0.0814833 6.45628e-05
-1 0.3 0.0784833 6.1906e-05
-1 0.31 0.0753833 5.91888e-05
-1 0.32 0.0721833 5.6414e-05
-1 0.33 0.0688833 5.35844e-05
-1 0.34 0.0654833 5.07028e-05
-1 0.35 0.0619833 4.77721e-05
-1 0.36 0.0583833 4.47952e-05
-1 0.37 0.0546833 4.17751e-05
